IdZonaNC;NombreDepartamento;NombreMunicipio;Anio;Mes;EnergiaActiva;EnergiaReactiva;DiaDemandaMaxima;PotenciaMaxima;FechaDemandaMaxima;PromedioDiarioHoras
2785;chocó;copacabana;2024;diciembre;14723.0;3534.0;30;6521.0;30/12/2024;9.47
2786;chocó;copacabana;2024;diciembre;487918.0;152095.0;18;93245.0;18/12/2024;22.46
208;guainía;nariño;2024;enero;84069.0;23303.0;29;21433.0;29/01/2024;16.28
209;guainía;rionegro;2024;enero;2431170.0;717693.0;31;431376.0;31/01/2024;24.0
210;guainía;rionegro;2024;enero;7973.0;286.0;1;2633.0;1/02/2024;15.43
225;guainía;rionegro;2022;enero;1991760.0;673698.0;14;358952.0;14/01/2022;24.0
246;guainía;rionegro;2021;enero;1591360.0;539349.0;18;304128.0;18/01/2021;24.0
247;guainía;rionegro;2020;enero;1643130.0;551952.0;28;319352.0;28/01/2020;24.0
466;guainía;nariño;2024;febrero;80678.0;22562.0;29;25357.0;29/02/2024;15.43
467;guainía;rionegro;2024;febrero;2323980.0;66443.0;20;46288.0;20/02/2024;24.0
468;guainía;rionegro;2024;febrero;8558.0;434.0;19;2831.0;19/02/2024;17.21
497;guainía;rionegro;2022;febrero;1884990.0;626265.0;22;385088.0;22/02/2022;24.0
498;guainía;rionegro;2021;febrero;1601130.0;531339.0;19;325688.0;19/02/2021;24.0
499;guainía;rionegro;2020;febrero;1675110.0;565034.0;17;319968.0;17/02/2020;23.56
729;guainía;nariño;2024;marzo;93049.0;29052.0;3;24576.0;3/04/2024;16.12
730;guainía;rionegro;2024;marzo;2416610.0;695342.0;20;455136.0;20/03/2024;24.0
731;guainía;rionegro;2024;marzo;966.0;814.0;26;2882.0;26/03/2024;16.11
732;guainía;rionegro;2022;marzo;2028610.0;677023.0;3;385792.0;3/08/2022;24.0
733;guainía;rionegro;2021;marzo;1657550.0;563245.0;3;31108.0;3/02/2021;23.54
734;guainía;rionegro;2020;marzo;1710920.0;577847.0;3;310992.0;3/04/2020;24.0
945;guainía;nariño;2024;abril;89115.0;26143.0;15;24343.0;15/04/2024;16.18
946;guainía;rionegro;2024;abril;2304970.0;651076.0;4;460856.0;4/10/2024;23.55
947;guainía;nariño;2022;abril;7551.0;23554.0;28;20635.0;28/04/2022;16.28
948;guainía;rionegro;2022;abril;1921700.0;646285.0;4;378048.0;4/01/2022;24.0
949;guainía;rionegro;2021;abril;1551310.0;521989.0;22;321816.0;22/04/2021;23.57
950;guainía;rionegro;2020;abril;1470570.0;504667.0;16;274032.0;16/04/2020;24.0
1169;guainía;nariño;2024;mayo;76458.0;22812.0;5;23927.0;5/08/2024;14.3
1170;guainía;rionegro;2024;mayo;2265990.0;635769.0;14;415184.0;14/05/2024;23.59
1171;guainía;nariño;2022;mayo;67155.0;18386.0;5;18157.0;5/03/2022;16.32
1172;guainía;rionegro;2022;mayo;1921000.0;645033.0;5;38368.0;5/03/2022;24.0
1173;guainía;rionegro;2021;mayo;1587220.0;528498.0;21;299992.0;21/05/2021;24.0
1174;guainía;rionegro;2020;mayo;1421000.0;48807.0;21;2706.0;21/05/2020;24.0
1374;guainía;nariño;2024;junio;8738.0;28373.0;25;23428.0;25/06/2024;16.11
1375;guainía;rionegro;2024;junio;5482.0;444.0;14;191.0;14/06/2024;15.59
1376;guainía;rionegro;2024;junio;2088660.0;580002.0;18;409904.0;18/06/2024;24.0
1377;guainía;nariño;2022;junio;63193.0;17154.0;29;1876.0;29/06/2022;16.33
1378;guainía;rionegro;2022;junio;1777300.0;595336.0;6;35631.0;6/09/2022;24.0
1379;guainía;rionegro;2020;junio;1358800.0;468211.0;6;260832.0;6/10/2020;6.3
1488;guainía;nariño;2022;julio;72083.0;2089450.0;7;19604.0;7/05/2022;16.32
1589;guainía;nariño;2024;julio;87489.0;29752.0;17;24559.0;17/07/2024;15.36
1590;guainía;rionegro;2024;julio;5177.0;364.0;25;1716.0;25/07/2024;16.04
1591;guainía;rionegro;2024;julio;2042570.0;557699.0;25;38368.0;25/07/2024;24.0
1592;guainía;nariño;2023;julio;60935.0;14074.0;7;17359.0;7/05/2023;15.51
1593;guainía;rionegro;2021;julio;1539050.0;51774.0;29;297088.0;29/07/2021;24.0
1594;guainía;rionegro;2020;julio;1406620.0;473315.0;7;26224.0;7/08/2020;24.0
1808;guainía;rionegro;2023;agosto;2119200.0;639007.0;18;412984.0;18/08/2023;24.0
1809;guainía;rionegro;2022;agosto;1947630.0;635655.0;18;3784.0;18/08/2022;24.0
1810;guainía;rionegro;2021;agosto;1654300.0;556149.0;24;320056.0;24/08/2021;23.51
1818;guainía;rionegro;2020;agosto;1412050.0;476468.0;19;275704.0;19/08/2020;24.0
1834;guainía;rionegro;2024;agosto;5844.0;507.0;25;1766.0;25/08/2024;16.58
1835;guainía;rionegro;2024;agosto;2260690.0;605279.0;22;44792.0;22/08/2024;23.59
2045;guainía;rionegro;2023;septiembre;2188460.0;666831.0;29;438768.0;29/09/2023;24.0
2046;guainía;rionegro;2022;septiembre;2012400.0;64236.0;23;387992.0;23/09/2022;24.0
2047;guainía;nariño;2022;septiembre;67445.0;19688.0;15;18656.0;15/09/2022;16.41
2048;guainía;rionegro;2021;septiembre;1644340.0;536099.0;9;32824.0;9/02/2021;23.53
2049;guainía;rionegro;2020;septiembre;1458000.0;476889.0;22;288112.0;22/09/2020;24.0
2050;guainía;rionegro;2024;septiembre;5541.0;579.0;9;186.0;9/04/2024;16.27
2051;guainía;rionegro;2024;septiembre;2244800.0;600627.0;24;44308.0;24/09/2024;24.0
2288;guainía;nariño;2023;octubre;87969.0;25794.0;10;22913.0;10/05/2023;16.19
2289;guainía;rionegro;2023;octubre;2339690.0;709953.0;10;449504.0;10/04/2023;24.0
2290;guainía;rionegro;2022;octubre;2078560.0;67493.0;10;39116.0;10/04/2022;24.0
2291;guainía;rionegro;2021;octubre;1779420.0;583191.0;14;341968.0;14/10/2021;24.0
2292;guainía;rionegro;2020;octubre;1561140.0;510622.0;30;299024.0;30/10/2020;24.0
2293;guainía;rionegro;2024;octubre;596.0;709.0;10;2003.0;10/06/2024;17.16
2296;guainía;rionegro;2024;octubre;2463800.0;654496.0;21;471856.0;21/10/2024;24.0
2535;guainía;nariño;2023;noviembre;82494.0;23342.0;22;21716.0;22/11/2023;16.18
2536;guainía;rionegro;2023;noviembre;2281430.0;672727.0;20;444048.0;20/11/2023;24.0
2537;guainía;rionegro;2021;noviembre;1980080.0;649948.0;17;38456.0;17/11/2021;24.0
2538;guainía;rionegro;2020;noviembre;1548930.0;504476.0;11;304568.0;11/12/2020;24.0
2539;guainía;rionegro;2024;noviembre;5598.0;550.0;17;1882.0;17/11/2024;16.52
2540;guainía;rionegro;2024;noviembre;2367400.0;625264.0;11;463232.0;11/07/2024;24.0
2787;guainía;nariño;2023;diciembre;86025.0;24132.0;12;22115.0;12/07/2023;16.45
2788;guainía;rionegro;2023;diciembre;2355100.0;701469.0;21;424512.0;21/12/2023;24.0
2789;guainía;rionegro;2023;diciembre;8604.0;226.0;12;2438.0;12/04/2023;16.4
2790;guainía;rionegro;2021;diciembre;2002270.0;666182.0;12;37268.0;12/06/2021;24.0
2791;guainía;rionegro;2020;diciembre;1576160.0;52898.0;12;294976.0;12/03/2020;24.0
2792;guainía;rionegro;2024;diciembre;5249.0;405.0;31;1783.0;31/12/2024;17.3
2793;guainía;rionegro;2024;diciembre;2323890.0;611281.0;16;6138.0;16/12/2024;23.95
21;guaviare;barbosa;2024;enero;8954.0;27803.0;27;22264.0;27/01/2024;18.06
92;guaviare;barbosa;2023;enero;76527.0;25343.0;26;18216.0;26/01/2023;18.07
140;guaviare;barbosa;2022;enero;76973.0;28414.0;31;19932.0;31/01/2022;17.4
182;guaviare;barbosa;2021;enero;7789.0;28686.0;28;187.0;28/01/2021;19.15
226;guaviare;barbosa;2020;enero;78171.0;27605.0;29;20108.0;29/01/2020;17.36
264;guaviare;barbosa;2024;febrero;89338.0;27538.0;24;21692.0;24/02/2024;18.34
332;guaviare;barbosa;2023;febrero;75587.0;24768.0;2;20196.0;2/03/2023;17.45
375;guaviare;barbosa;2022;febrero;8034.0;28067.0;16;20812.0;16/02/2022;19.04
429;guaviare;barbosa;2021;febrero;74114.0;26896.0;2;19316.0;2/10/2021;19.19
478;guaviare;barbosa;2020;febrero;78132.0;28048.0;28;21208.0;28/02/2020;18.28
515;guaviare;barbosa;2024;marzo;100938.0;31688.0;3;23276.0;3/11/2024;20.5
551;guaviare;barbosa;2023;marzo;84855.0;29197.0;14;20284.0;14/03/2023;18.12
613;guaviare;barbosa;2022;marzo;89189.0;31103.0;3;21516.0;3/08/2022;19.13
669;guaviare;barbosa;2021;marzo;82981.0;3003.0;3;198.0;3/04/2021;19.14
712;guaviare;barbosa;2020;marzo;83195.0;2935.0;3;20812.0;3/11/2020;18.44
750;guaviare;barbosa;2024;abril;111542.0;35676.0;16;23628.0;16/04/2024;24.0
775;guaviare;barbosa;2023;abril;80666.0;29742.0;18;19932.0;18/04/2023;18.01
845;guaviare;barbosa;2022;abril;84458.0;29114.0;4;20504.0;4/08/2022;19.0
885;guaviare;barbosa;2021;abril;7895.0;28189.0;21;18656.0;21/04/2021;19.15
928;guaviare;barbosa;2020;abril;76385.0;26715.0;16;19272.0;16/04/2020;18.42
1022;guaviare;barbosa;2023;mayo;8474.0;2808.0;5;20152.0;5/08/2023;18.13
1077;guaviare;barbosa;2022;mayo;90318.0;31378.0;5;20636.0;5/12/2022;19.33
1118;guaviare;barbosa;2021;mayo;74794.0;25564.0;20;18568.0;20/05/2021;18.04
1155;guaviare;barbosa;2020;mayo;77588.0;26796.0;29;18612.0;29/05/2020;18.57
1258;guaviare;barbosa;2023;junio;8102.0;28953.0;6;20416.0;6/03/2023;18.15
1301;guaviare;barbosa;2022;junio;83248.0;29949.0;6;2081.0;6/02/2022;19.22
1359;guaviare;barbosa;2020;junio;74017.0;25832.0;29;19008.0;29/06/2020;16.12
1429;guaviare;barbosa;2023;julio;83462.0;27375.0;7;1958.0;7/06/2023;18.16
1489;guaviare;barbosa;2022;julio;84015.0;3098130.0;15;20548.0;15/07/2022;17.83
1531;guaviare;barbosa;2021;julio;72315.0;24881.0;23;16896.0;23/07/2021;19.9
1624;guaviare;barbosa;2023;agosto;8927.0;2841.0;25;21164.0;25/08/2023;18.19
1680;guaviare;barbosa;2022;agosto;83464.0;29022.0;18;209.0;18/08/2022;17.87
1722;guaviare;barbosa;2021;agosto;75422.0;26209.0;19;18788.0;19/08/2021;19.11
1863;guaviare;barbosa;2023;septiembre;90236.0;31623.0;9;22132.0;9/06/2023;18.23
1920;guaviare;barbosa;2022;septiembre;85441.0;29843.0;29;22132.0;29/09/2022;17.88
1946;guaviare;barbosa;2021;septiembre;77896.0;28647.0;13;19668.0;13/09/2021;19.17
2100;guaviare;barbosa;2023;octubre;96608.0;30631.0;30;2244.0;30/10/2023;18.42
2152;guaviare;barbosa;2022;octubre;86323.0;30917.0;24;209.0;24/10/2022;17.52
2188;guaviare;barbosa;2021;octubre;82653.0;30237.0;21;19272.0;21/10/2021;19.1
2240;guaviare;barbosa;2020;octubre;79345.0;29068.0;26;19052.0;26/10/2020;19.1
2341;guaviare;barbosa;2023;noviembre;87077.0;27213.0;18;21692.0;18/11/2023;17.55
2394;guaviare;barbosa;2022;noviembre;85289.0;2873.0;11;2178.0;11/12/2022;18.08
2431;guaviare;barbosa;2021;noviembre;8444.0;31684.0;19;19932.0;19/11/2021;19.3
2483;guaviare;barbosa;2020;noviembre;80296.0;28321.0;30;19492.0;30/11/2020;19.06
2549;guaviare;barbosa;2024;noviembre;130789.0;21127.0;11;29808.0;11/07/2024;24.0
2587;guaviare;barbosa;2023;diciembre;89286.0;2879.0;21;2222.0;21/12/2023;18.19
2654;guaviare;barbosa;2022;diciembre;84461.0;29297.0;12;20372.0;12/01/2022;18.09
2689;guaviare;barbosa;2021;diciembre;8821.0;32159.0;23;19316.0;23/12/2021;19.36
2741;guaviare;barbosa;2020;diciembre;85279.0;30687.0;28;19448.0;28/12/2020;19.19
2802;guaviare;barbosa;2024;diciembre;12595.0;20195.0;12;2495.0;12/03/2024;24.0
22;la guajira;puerto alegría;2024;enero;49224.0;2096.0;1;1797.0;1/03/2024;12.52
93;la guajira;puerto alegría;2023;enero;58763.0;11066.0;23;29371.0;23/01/2023;9.45
141;la guajira;puerto alegría;2022;enero;42883.0;17085.0;18;18552.0;18/01/2022;13.22
183;la guajira;puerto alegría;2021;enero;2752.0;12331.0;28;22128.0;28/01/2021;5.39
227;la guajira;puerto alegría;2020;enero;1566.0;7303.0;1;21398.0;1/08/2020;3.51
265;la guajira;puerto alegría;2024;febrero;41955.0;2054.0;2;15031.0;2/06/2024;13.1
333;la guajira;puerto alegría;2023;febrero;59448.0;11174.0;28;30029.0;28/02/2023;10.29
376;la guajira;puerto alegría;2022;febrero;23811.0;10629.0;2;10344.0;2/10/2022;12.49
430;la guajira;puerto alegría;2021;febrero;23115.0;959.0;15;23592.0;15/02/2021;5.02
479;la guajira;puerto alegría;2020;febrero;2811.0;12702.0;25;22344.0;25/02/2020;6.11
516;la guajira;puerto alegría;2024;marzo;44785.0;162.0;28;16133.0;28/03/2024;12.35
552;la guajira;puerto alegría;2023;marzo;61337.0;11434.0;23;33178.0;23/03/2023;10.08
614;la guajira;puerto alegría;2022;marzo;34967.0;11798.0;31;16133.0;31/03/2022;12.21
670;la guajira;puerto alegría;2021;marzo;3136.0;16391.0;3;22392.0;3/02/2021;6.47
713;la guajira;puerto alegría;2020;marzo;28515.0;12349.0;30;22968.0;30/03/2020;5.47
783;la guajira;puerto alegría;2023;abril;5839.0;10988.0;19;34128.0;19/04/2023;12.13
886;la guajira;puerto alegría;2021;abril;35845.0;17755.0;26;23208.0;26/04/2021;7.56
929;la guajira;puerto alegría;2020;abril;27348.0;11383.0;16;24312.0;16/04/2020;5.18
969;la guajira;puerto alegría;2024;mayo;37485.0;3837.0;5;14884.0;5/02/2024;10.2
970;la guajira;puerto alegría;2024;mayo;33425.0;749.0;27;26304.0;27/05/2024;4.57
1023;la guajira;puerto alegría;2023;mayo;62934.0;12169.0;5;34157.0;5/02/2023;11.32
1156;la guajira;puerto alegría;2020;mayo;27489.0;11593.0;5;24024.0;5/12/2020;5.36
1188;la guajira;puerto alegría;2024;junio;32748.0;1938.0;6;15945.0;6/05/2024;8.33
1189;la guajira;puerto alegría;2024;junio;31835.0;694.0;6;26592.0;6/07/2024;4.46
1259;la guajira;puerto alegría;2023;junio;53431.0;10543.0;6;3323.0;6/01/2023;10.11
